,input_dim,num_heads,ffn_dim,num_layers,depthwise_conv_kernel_size,dropout,use_group_norm,convolution_first,lr,gen_path,dis_path,device,batch_size,clip_value,data_len,epochs,early_stop
59,722,2,256,4,5,0.3,False,False,0.01,data/models/gen,data/models/dis,cuda,128,1,32,100,5
60,722,2,256,4,3,0.0,True,True,0.01,data/models/gen,data/models/dis,cuda,128,1,32,100,5
61,722,1,512,8,5,0.0,True,True,0.01,data/models/gen,data/models/dis,cuda,128,1,16,100,5
62,722,2,256,2,7,0.2,False,False,0.01,data/models/gen,data/models/dis,cuda,128,1,4,100,5
63,722,1,512,2,3,0.0,True,False,0.01,data/models/gen,data/models/dis,cuda,128,1,16,100,5
64,722,2,128,2,7,0.3,True,True,0.01,data/models/gen,data/models/dis,cuda,128,1,16,100,5
65,722,1,64,8,3,0.1,True,False,0.01,data/models/gen,data/models/dis,cuda,128,1,4,100,5
66,722,2,128,2,5,0.1,False,False,0.01,data/models/gen,data/models/dis,cuda,128,1,8,100,5
67,722,1,128,4,3,0.4,True,False,0.01,data/models/gen,data/models/dis,cuda,128,1,16,100,5
68,722,1,256,2,5,0.3,False,False,0.01,data/models/gen,data/models/dis,cuda,128,1,8,100,5
